No.,Name,Ticker,Put Volume Total,Call Volume Total,Put/Call Volume Ratio,Put Open Interest Total,Call Open Interest Total,Put/Call Open Interest Ratio,Market Cap,,,,,,,,
1,Apple Inc,AAPL,245376,281348,0.87214,3299088,3752846,0.87909,2.798T,,,,,,,,
2,Microsoft Corp,MSFT,80455,133277,0.60367,1318609,1399175,0.94242,2.45T,,,,,,,,
3,Alphabet Cl C,GOOG,55145,77207,0.71425,985599,1307356,0.75389,1.751T,,,,,,,,
4,Amazon.com Inc,AMZN,187072,350038,0.53443,2804762,3291626,0.85209,1.323T,,,,,,,,
5,Nvidia Corp,NVDA,289360,365798,0.79104,1834931,1736413,1.05674,1.118T,,,,,,,,
6,Tesla Inc,TSLA,517833,688450,0.75217,3619075,4248639,0.85182,824.19B,,,,,,,,
7,Meta Platforms Inc,META,184676,253274,0.72915,1303195,1824514,0.71427,819.191B,,,,,,,,
8,Berkshire Hathaway Cl B,BRK-B,3503,5556,0.63049,138252,253956,0.54439,753.385B,,,,,,,,
9,Eli Lilly and Company,LLY,9020,20085,0.44909,98115,120114,0.81685,542.769B,,,,,,,,
10,Unitedhealth Group Inc,UNH,6040,6498,0.92952,91705,106819,0.85851,487.709B,,,,,,,,
11,Visa Inc,V,7182,6097,1.17796,187568,197979,0.94741,487.588B,,,,,,,,
12,Exxon Mobil Corp,XOM,55099,136602,0.40335,652532,705939,0.92435,442.183B,,,,,,,,
13,JP Morgan Chase & Company,JPM,15245,23143,0.65873,604406,511508,1.18162,420.715B,,,,,,,,
14,Walmart Inc,WMT,21134,24597,0.85921,260225,260670,0.99829,419.453B,,,,,,,,
15,Johnson & Johnson,JNJ,6656,9329,0.71347,214903,258644,0.83088,381.766B,,,,,,,,
16,Mastercard Inc,MA,4954,2839,1.74498,93449,98540,0.94834,371.929B,,,,,,,,
17,Broadcom Ltd,AVGO,10035,12685,0.79109,125783,103462,1.21574,353.252B,,,,,,,,
18,Procter & Gamble Company,PG,7272,6359,1.14358,128806,170326,0.75623,337.884B,,,,,,,,
19,Chevron Corp,CVX,19754,58436,0.33805,255910,302131,0.84702,318.035B,,,,,,,,
20,Oracle Corp,ORCL,10792,18422,0.58582,325264,344271,0.94479,302.208B,,,,,,,,
21,Home Depot,HD,13668,12398,1.10244,139003,125552,1.10713,295.381B,,,,,,,,
22,Merck & Company,MRK,6251,6686,0.93494,150178,199724,0.75193,265.171B,,,,,,,,
23,Abbvie Inc,ABBV,3888,7634,0.50930,167872,246356,0.68142,263.187B,,,,,,,,
24,Costco Wholesale,COST,16113,15583,1.03401,119908,99724,1.20240,247.508B,,,,,,,,
25,Adobe Systems Inc,ADBE,8644,8748,0.98811,142478,138560,1.02828,240.986B,,,,,,,,
26,Coca-Cola Company,KO,117299,44475,2.63741,423244,467194,0.90593,228.671B,,,,,,,,
27,Pepsico Inc,PEP,33804,39583,0.85400,134067,147381,0.90966,222.125B,,,,,,,,
28,Cisco Systems Inc,CSCO,6603,8722,0.75705,540186,604106,0.89419,218.638B,,,,,,,,
29,Bank of America Corp,BAC,74566,137375,0.54279,2676846,2335956,1.14593,209.069B,,,,,,,,
30,Salesforce Inc,CRM,6636,7776,0.85340,265578,210393,1.26229,201.625B,,,,,,,,
31,Accenture Plc,ACN,886,1034,0.85687,38528,45134,0.85364,196.413B,,,,,,,,
32,Thermo Fisher Scientific Inc,TMO,1155,924,1.25000,30196,29031,1.04013,191.481B,,,,,,,,
33,Pfizer Inc,PFE,13199,41391,0.31889,892336,1044479,0.85434,187.446B,,,,,,,,
34,Linde Plc,LIN,215,180,1.19444,25066,20352,1.23162,182.36B,,,,,,,,
