Date	STOCK:V:STOCK:V
2013-12-02	null:null
2013-12-03	null:null
2013-12-04	null:null
2013-12-05	null:null
2013-12-06	null:null
2013-12-09	null:null
2013-12-10	null:null
2013-12-11	null:null
2013-12-12	null:null
2013-12-13	null:null
2013-12-16	null:null
2013-12-17	null:null
2013-12-18	null:null
2013-12-19	null:null
2013-12-20	null:null
2013-12-23	null:null
2013-12-24	null:null
2013-12-26	null:null
2013-12-27	null:null
2013-12-30	null:null
2013-12-31	null:null
2014-01-02	null:null
2014-01-03	null:null
2014-01-06	null:null
2014-01-07	null:null
2014-01-08	null:null
2014-01-09	null:null
2014-01-10	null:null
2014-01-13	null:null
2014-01-14	null:null
2014-01-15	null:null
2014-01-16	null:null
2014-01-17	null:null
2014-01-21	null:null
2014-01-22	null:null
2014-01-23	null:null
2014-01-24	null:null
2014-01-27	null:null
2014-01-28	null:null
2014-01-29	null:null
2014-01-30	null:null
2014-01-31	null:null
2014-02-03	null:null
2014-02-04	null:null
2014-02-05	null:null
2014-02-06	null:null
2014-02-07	null:null
2014-02-10	null:null
2014-02-11	null:null
2014-02-12	null:null
2014-02-13	null:null
2014-02-14	null:null
2014-02-18	null:null
2014-02-19	null:null
2014-02-20	null:null
2014-02-21	null:null
2014-02-24	null:null
2014-02-25	null:null
2014-02-26	null:null
2014-02-27	null:null
2014-02-28	null:null
2014-03-03	null:null
2014-03-04	null:null
2014-03-05	null:null
2014-03-06	null:null
2014-03-07	null:null
2014-03-10	null:null
2014-03-11	null:null
2014-03-12	null:null
2014-03-13	null:null
2014-03-14	null:null
2014-03-17	null:null
2014-03-18	null:null
2014-03-19	null:null
2014-03-20	null:null
2014-03-21	null:null
2014-03-24	null:null
2014-03-25	null:null
2014-03-26	null:null
2014-03-27	null:null
2014-03-28	null:null
2014-03-31	null:null
2014-04-01	null:null
2014-04-02	null:null
2014-04-03	null:null
2014-04-04	null:null
2014-04-07	null:null
2014-04-08	null:null
2014-04-09	null:null
2014-04-10	null:null
2014-04-11	null:null
2014-04-14	null:null
2014-04-15	null:null
2014-04-16	null:null
2014-04-17	null:null
2014-04-21	null:null
2014-04-22	null:null
2014-04-23	null:null
2014-04-24	null:null
2014-04-25	null:null
2014-04-28	null:null
2014-04-29	null:null
2014-04-30	null:null
2014-05-01	null:null
2014-05-02	null:null
2014-05-05	null:null
2014-05-06	null:null
2014-05-07	null:null
2014-05-08	null:null
2014-05-09	null:null
2014-05-12	null:null
2014-05-13	null:null
2014-05-14	null:null
2014-05-15	null:null
2014-05-16	null:null
2014-05-19	null:null
2014-05-20	null:null
2014-05-21	null:null
2014-05-22	null:null
2014-05-23	null:null
2014-05-27	null:null
2014-05-28	null:null
2014-05-29	null:null
2014-05-30	null:null
2014-06-02	null:null
2014-06-03	null:null
2014-06-04	null:null
2014-06-05	null:null
2014-06-06	null:null
2014-06-09	null:null
2014-06-10	null:null
2014-06-11	null:null
2014-06-12	null:null
2014-06-13	null:null
2014-06-16	null:null
2014-06-17	null:null
2014-06-18	null:null
2014-06-19	null:null
2014-06-20	null:null
2014-06-23	null:null
2014-06-24	null:null
2014-06-25	null:null
2014-06-26	null:null
2014-06-27	null:null
2014-06-30	null:null
2014-07-01	null:null
2014-07-02	null:null
2014-07-03	null:null
2014-07-07	null:null
2014-07-08	null:null
2014-07-09	null:null
2014-07-10	null:null
2014-07-11	null:null
2014-07-14	null:null
2014-07-15	null:null
2014-07-16	null:null
2014-07-17	null:null
2014-07-18	null:null
2014-07-21	null:null
2014-07-22	null:null
2014-07-23	null:null
2014-07-24	null:null
2014-07-25	null:null
2014-07-28	null:null
2014-07-29	null:null
2014-07-30	null:null
2014-07-31	null:null
2014-08-01	null:null
2014-08-04	null:null
2014-08-05	null:null
2014-08-06	null:null
2014-08-07	null:null
2014-08-08	null:null
2014-08-11	null:null
2014-08-12	null:null
2014-08-13	null:null
2014-08-14	null:null
2014-08-15	null:null
2014-08-18	null:null
2014-08-19	null:null
2014-08-20	null:null
2014-08-21	null:null
2014-08-22	null:null
2014-08-25	null:null
2014-08-26	null:null
2014-08-27	null:null
2014-08-28	null:null
2014-08-29	null:null
2014-09-02	null:null
2014-09-03	null:null
2014-09-04	null:null
2014-09-05	null:null
2014-09-08	null:null
2014-09-09	null:null
2014-09-10	null:null
2014-09-11	null:null
2014-09-12	null:null
2014-09-15	null:null
2014-09-16	null:null
2014-09-17	null:null
2014-09-18	null:null
2014-09-19	null:null
2014-09-22	null:null
2014-09-23	null:null
2014-09-24	null:null
2014-09-25	null:null
2014-09-26	null:null
2014-09-29	null:null
2014-09-30	null:null
2014-10-01	null:null
2014-10-02	null:null
2014-10-03	null:null
2014-10-06	null:null
2014-10-07	null:null
2014-10-08	null:null
2014-10-09	null:null
2014-10-10	null:null
2014-10-13	null:null
2014-10-14	null:null
2014-10-15	null:null
2014-10-16	null:null
2014-10-17	null:null
2014-10-20	null:null
2014-10-21	null:null
2014-10-22	null:null
2014-10-23	null:null
2014-10-24	null:null
2014-10-27	null:null
2014-10-28	null:null
2014-10-29	null:null
2014-10-30	null:null
2014-10-31	null:null
2014-11-03	null:null
2014-11-04	null:null
2014-11-05	null:null
