Date,Block Orders,QQQ Price
2021-12-03,27860000,378.1875195
2021-12-06,87580000,381.2179157
2021-12-07,-177430000,392.6978855
2021-12-08,-80890000,394.454923
2021-12-09,-201010000,388.6507766
2021-12-10,188210000,392.8755635
2021-12-13,-92494130,387.19974
2021-12-14,159870000,383.1921151
2021-12-15,124240000,391.9279477
2021-12-16,45280000,381.8496595
2021-12-17,99720000,379.944557
2021-12-20,-21840000,376.2593627
2021-12-21,34230000,384.6802032
2021-12-22,177140000,389.365037
2021-12-23,121290000,392.3004709
2021-12-27,288230000,398.7841227
2021-12-28,95580000,396.9358866
2021-12-29,114250000,396.8765849
2021-12-30,68011540,395.690551
2021-12-31,85570000,393.2196471
2022-01-03,102650000,397.0050719
2022-01-04,205020000,391.8557082
2022-01-05,-82410000,379.8174643
2022-01-06,-239920000,379.5506067
2022-01-07,-122650000,375.4390226
2022-01-10,71320000,375.686113
2022-01-11,191390000,381.3296575
2022-01-12,20040000,382.8418507
2022-01-13,275220000,373.2646272
2022-01-14,-85650000,375.5872769
2022-01-18,132480000,366.2373765
2022-01-19,-71530000,362.2147449
2022-01-20,-105840000,357.5101439
2022-01-21,548060000,347.5968774
2022-01-24,-366870000,349.1881396
2022-01-25,252540000,341.0934584
2022-01-26,190020000,340.5597431
2022-01-27,122530000,337.1301285
2022-01-28,108800000,347.7055972
2022-01-31,345860000,358.8246648
2022-02-01,-129310000,361.2659178
2022-02-02,-42520000,364.2013517
2022-02-03,148930000,349.43523
2022-02-04,-368380000,353.8433225
2022-02-07,-7730000,350.9968412
2022-02-08,-60520000,354.9404038
2022-02-09,-13700000,362.4618353
2022-02-10,-341820000,354.2584344
2022-02-11,-214170000,343.0207634
2022-02-14,-229260000,343.4457589
2022-02-15,213800000,351.9852028
2022-02-16,106160000,351.8962502
2022-02-17,19200000,341.4295013
2022-02-18,7066790,337.5353568
2022-02-22,321210000,334.1452766
2022-02-23,6610000,325.5860655
2022-02-24,271570000,336.527228
2022-02-25,283180000,341.745777
2022-02-28,8620000,342.7637894
