Date,SPY Block Orders,SPY Price
2021-12-03,904620000,439.74
2021-12-06,-247210000,444.95
2021-12-07,-270640000,454.15
2021-12-08,872150000,455.35
2021-12-09,19480000,452.28
2021-12-10,554860000,456.54
2021-12-13,78440000,452.49
2021-12-14,647980000,449.38
2021-12-15,65380000,456.4
2021-12-16,139930000,452.38
2021-12-17,110820000,447.56
2021-12-20,383010000,442.8
2021-12-21,53900000,450.67
2021-12-22,-228220000,455.17
2021-12-23,39160000,458
2021-12-27,633820000,464.49
2021-12-28,347770000,464.11
2021-12-29,-197150000,464.7
2021-12-30,-73370000,463.41
2021-12-31,-197260000,462.25
2022-01-03,-190640000,464.92
2022-01-04,759180000,464.77
2022-01-05,366630000,455.84
2022-01-06,-267140000,455.41
2022-01-07,-66720000,453.61
2022-01-10,85660000,453.05
2022-01-11,11980000,457.18
2022-01-12,-23710000,458.41
2022-01-13,595590000,452.1
2022-01-14,659180000,452.28
2022-01-18,1063430000,444.27
2022-01-19,-118280000,439.66
2022-01-20,-693430000,434.79
2022-01-21,169970000,426.26
2022-01-24,858920000,428.07
2022-01-25,1151280000,422.84
2022-01-26,-38430000,421.78
2022-01-27,-392340000,419.7
2022-01-28,856270000,430.12
2022-01-31,384970000,437.87
2022-02-01,893870000,440.83
2022-02-02,68000000,445.11
2022-02-03,219900000,434.65
2022-02-04,-394220000,436.69
2022-02-07,322581250,435.29
2022-02-08,-64240000,438.87
2022-02-09,145960000,445.29
2022-02-10,670080000,437.29
2022-02-11,-311650000,428.67
2022-02-14,-376560000,427.27
2022-02-15,281040000,434.16
2022-02-16,-14260000,434.65
2022-02-17,-108470000,425.36
2022-02-18,1590000,422.61
2022-02-22,-555390000,418.07
2022-02-23,-337610000,410.66
2022-02-24,-798850000,416.84
2022-02-25,-397450000,426.03
2022-02-28,433740000,424.94
2022-03-01,119950000,418.47
2022-03-02,-327180000,426.17
2022-03-03,-189750000,424.05
2022-03-04,131970000,420.6
2022-03-07,248240000,408.2
2022-03-08,33480000,405.11
2022-03-09,-342170000,415.97
2022-03-10,206620000,414.09
2022-03-11,-181620000,408.83
2022-03-14,-99000000,405.84
2022-03-15,2190000,414.76
2022-03-16,549270000,423.96
2022-03-17,-447880000,429.26
2022-03-18,110400000,433.97
2022-03-21,606110000,433.84
2022-03-22,419640000,438.92
2022-03-23,291060000,433.26
2022-03-24,514570000,439.79
2022-03-25,152510000,441.94
2022-03-28,-383750000,445.09
2022-03-29,994460000,450.59
2022-03-30,373460000,447.81
2022-03-31,176250000,440.92
2022-04-01,327640000,442.17
2022-04-04,-107300000,445.95
2022-04-05,137290000,440.32
2022-04-06,109270000,435.92
2022-04-07,664390000,438.11
2022-04-08,69920000,436.94
2022-04-11,314390000,429.47
2022-04-12,-30070000,427.88
2022-04-13,-271330000,432.78
2022-04-14,-419870000,427.4
2022-04-18,-317140000,427.57
2022-04-19,763440000,434.47
2022-04-20,144760000,434.15
2022-04-21,390520000,427.66
2022-04-22,193170000,415.92
2022-04-25,337130000,418.34
2022-04-26,271830000,406.22
2022-04-27,-279260000,407.36
2022-04-28,-9950000,417.65
2022-04-29,-725580000,402.22
2022-05-02,-614080000,404.64
2022-05-03,-359500000,406.49
2022-05-04,-60340000,418.87
2022-05-05,146230000,403.98
2022-05-06,-281350000,401.57
2022-05-09,252610000,388.72
2022-05-10,-313240000,389.61
2022-05-11,-239700000,383.42
2022-05-12,509560000,383.02
2022-05-13,143120000,392.18
2022-05-16,9620000,390.59
2022-05-17,-416500000,398.63
2022-05-18,585260000,382.56
2022-05-19,-107690000,380.21
2022-05-20,318170000,380.38
2022-05-23,-43336550,387.5
2022-05-24,-136060000,384.54
2022-05-25,165720000,387.94
2022-05-26,191860000,395.69
2022-05-27,306700000,405.4
2022-05-31,651350000,403.13
2022-06-01,-494190000,399.87
2022-06-02,-5100000,407.48
2022-06-03,25290000,400.79
2022-06-06,-317880000,402.01
2022-06-07,68470000,405.87
2022-06-08,51750000,401.46
2022-06-09,-673610000,391.91
2022-06-10,-941640000,380.54
2022-06-13,-38410000,366.1
2022-06-14,16970000,364.99
2022-06-15,-295210000,370.2
2022-06-16,327960000,357.94
2022-06-17,-362840000,358.72
2022-06-21,-261870000,367.75
2022-06-22,-244290000,367.08
2022-06-23,268740000,370.68
2022-06-24,1240960000,382.46
2022-06-27,221240000,381
2022-06-28,115390000,373.22
2022-06-29,-43275210,372.91
2022-06-30,46380000,369.88
2022-07-01,-83260000,373.8
2022-07-05,178760000,374.5
2022-07-06,207790000,375.77
2022-07-07,40290000,381.39
2022-07-08,-595890000,381.08
2022-07-11,-79250000,376.73
2022-07-12,186050000,373.39
2022-07-13,-626420000,371.43
2022-07-14,-123080000,370.53
2022-07-15,-212370000,377.61
2022-07-18,-192330000,374.49
2022-07-19,-66820000,384.61
2022-07-20,187320000,387.06
2022-07-21,442510000,391
2022-07-22,562600000,387.38
2022-07-25,40980000,387.85
2022-07-26,274960000,383.26
2022-07-27,-254450000,393.21
2022-07-28,54640000,398.14
2022-07-29,583070000,403.95
2022-08-01,92390000,402.75
2022-08-02,-153770000,400.09
2022-08-03,161970000,406.36
2022-08-04,-90290000,406.08
2022-08-05,70080000,405.4
2022-08-08,-198390000,404.93
2022-08-09,494920000,403.32
2022-08-10,-386190000,411.79
2022-08-11,-454940000,411.79
2022-08-12,604610000,418.76
2022-08-15,416100000,420.49
2022-08-16,566760000,421.31
2022-08-17,-15070000,418.32
2022-08-18,-184720000,419.54
2022-08-19,236020000,413.9
2022-08-22,-209800000,405.28
2022-08-23,-453600000,404.3
2022-08-24,263340000,405.59
2022-08-25,758280000,411.32
2022-08-26,-248930000,397.4
2022-08-29,44510000,394.77
2022-08-30,-430110000,390.43
2022-08-31,-627530000,387.46
2022-09-01,236510000,388.68
2022-09-02,-416340000,384.58
2022-09-06,-75900000,383.13
2022-09-07,189680000,390.01
2022-09-08,-148530000,392.56
2022-09-09,17040000,398.66
2022-09-12,279180000,402.95
2022-09-13,-238560000,385.42
2022-09-14,161840000,386.9
2022-09-15,131610000,382.5
2022-09-16,-164110000,379.58
2022-09-19,100710000,382.53
2022-09-20,135490000,378.14
2022-09-21,-559080000,371.54
2022-09-22,-418890000,368.42
2022-09-23,196470000,362.25
2022-09-26,180470000,358.66
2022-09-27,-253500000,357.75
2022-09-28,261490000,364.79
2022-09-29,281740000,357.17
2022-09-30,247730000,351.64
2022-10-03,84880000,360.93
2022-10-04,682950000,372.11
2022-10-05,-109810000,371.25
2022-10-06,-128620000,367.42
2022-10-07,208200000,357.17
2022-10-10,26050000,354.44
2022-10-11,-350980000,352.2
2022-10-12,-396180000,351.03
2022-10-13,695100000,360.3
2022-10-14,590010000,352.09
2022-10-17,248250000,361.13
2022-10-18,-33510000,365.38
2022-10-19,127560000,362.79
2022-10-20,-7000000,359.75
2022-10-21,284550000,368.49
2022-10-24,195340000,373
2022-10-25,149480000,378.95
2022-10-26,174940000,376.1
2022-10-27,143890000,374.09
2022-10-28,340840000,382.99
2022-10-31,-195870000,380.22
2022-11-01,10160000,378.56
2022-11-02,-391110000,369.06
2022-11-03,-52790000,365.26
2022-11-04,416950000,370.52
2022-11-07,126090000,374.06
2022-11-08,123310000,376.08
2022-11-09,121140000,368.33
2022-11-10,472390000,388.57
2022-11-11,180030000,392.33
2022-11-14,-186860000,389
2022-11-15,-342250000,392.31
2022-11-16,502800000,389.32
2022-11-17,98100000,388.13
2022-11-18,1190810000,389.89
2022-11-21,249610000,388.47
2022-11-22,238800000,393.7
2022-11-23,246300000,396.18
2022-11-25,84010000,396.09
2022-11-28,-20560000,389.77
2022-11-29,31720000,389.1
2022-11-30,744020000,401.36
2022-12-01,374190000,401.07
