Date,Block (Extra Large + Large),Overall,Extra Large,Large,Medium,Small
2023-01-03,-35930000,-60030000,12270000,-48200000,-26600000,2500000
2023-01-04,-155350000,-317720000,-55900000,-99450000,-103370000,-58990000
2023-01-05,-92270000,-116970000,-156400000,64130000,30990000,-55690000
2023-01-06,-103430000,-38330000,-56600000,-46830000,-43540000,108650000
2023-01-09,-107990000,-344600000,20800000,-128790000,-93100000,-143500000
2023-01-10,-58240000,-59790000,-19700000,-38540000,290730,-1850000
2023-01-11,11230000,-57390000,17670000,-6440000,-79540000,10920000
2023-01-12,-217940000,-298620000,-137380000,-80560000,-79630000,-1050000
2023-01-13,-144640000,-198490000,-71550000,-73090000,-2320000,-51530000
2023-01-17,-181180000,-422040000,-82850000,-98330000,-150770000,-90080000
2023-01-18,-149890000,-351420000,-70390000,-79500000,-69390000,-132140000
2023-01-19,-128380000,-169930000,-124710000,-3670000,4900000,-46440000
2023-01-20,-154160000,-131740000,-23890000,-130270000,-82030000,104460000
2023-01-23,-28060000,151610000,54230000,-82290000,-35000000,214660000
2023-01-24,-17640000,20130000,-31130000,13490000,17260000,20510000
2023-01-25,-86260000,109370000,-60000000,-26260000,71750000,123880000
2023-01-26,-140800000,-250910000,30340000,-171140000,-104490000,-5630000
2023-01-27,-91570000,-124780000,-27870000,-63700000,-26410000,-6810000
2023-01-30,-498190000,-782800000,-21230000,-476960000,-191840000,-92770000
2023-01-31,-242560000,-301990000,-5430000,-237130000,-123520000,64080000
2023-02-01,-126310000,-36600000,-48730000,-77580000,58420000,31300000
2023-02-02,-25800000,-67030000,157790000,-183590000,-33750000,-7480000
2023-02-03,-20597250,-513190000,-20810000,212750,103430000,-596020000
2023-02-06,-69690000,-99990000,-97180000,27490000,12670000,-42970000
2023-02-07,-144970000,51940000,-66320000,-78650000,-6340000,203240000
2023-02-08,-28510000,-197770000,-26710000,-1800000,15480000,-184750000
2023-02-09,14060000,-435820000,94600000,-80540000,-115200000,-334670000
2023-02-10,56680000,-65360000,83860000,-27180000,40250000,-162280000
2023-02-13,-42060000,154630000,-76400000,34340000,102910000,93780000
2023-02-14,-174570000,-568580000,45010000,-219580000,-53120000,-340880000
2023-02-15,-79090000,50580000,-3810000,-75280000,57590000,72090000
2023-02-16,-112900000,-168640000,42330000,-155230000,-37110000,-18640000
2023-02-17,-210040000,-383960000,-95250000,-114790000,-57370000,-116550000
2023-02-21,-100050000,-229480000,-62450000,-37600000,-44440000,-85000000
2023-02-22,25850000,-36070000,4330000,21520000,79790000,-141700000
2023-02-23,-192460000,-565170000,-127280000,-65180000,32200000,-404910000
2023-02-24,-99250000,-592580000,-10250000,-89000000,-319380,-493010000
2023-02-27,-33010000,-281870000,-1770000,-31240000,-66400000,-182460000
2023-02-28,-130860000,-387180000,-61330000,-69530000,-51460000,-204860000
2023-03-01,-227350000,-730390000,-99630000,-127720000,-82150000,-420890000
2023-03-02,6820000,151070000,9210000,-2390000,38110000,106140000
2023-03-03,198500000,418690000,244300000,-45800000,3580000,216610000
2023-03-06,75210000,-296170000,108580000,-33370000,-101690000,-269690000
2023-03-07,-73350000,-560540000,-39060000,-34290000,-10900000,-476290000
2023-03-08,19600000,-11650000,13290000,6310000,45370000,-76610000
2023-03-09,-54610000,-270820000,2080000,-56690000,-44240000,-171970000
2023-03-10,-344460000,-478890000,-338240000,-6220000,-94910000,-39530000
2023-03-13,15960000,283430000,29140000,-13180000,4470000,263010000
2023-03-14,-20360000,-465770000,30290000,-50650000,-39580000,-405830000
2023-03-15,-10670000,-34330000,36080000,-46750000,-38020000,14370000
2023-03-16,126010000,-148140000,267530000,-141520000,-124870000,-149280000
2023-03-17,257760000,151780000,319000000,-61240000,4270000,-110250000
2023-03-20,28768960,148310000,448960,28320000,47440000,72100000
2023-03-21,26160000,-10310000,12030000,14130000,-7230000,-29240000
2023-03-22,49010000,-58840000,66310000,-17300000,-30420000,-77430000
2023-03-23,-126590000,-590130000,-46690000,-79900000,-95540000,-368000000
2023-03-24,-41750000,-90740000,-28210000,-13540000,43780000,-92770000
2023-03-27,136030000,215570000,51430000,84600000,63450000,16080000
2023-03-28,52350000,370260000,-37720000,90070000,-15780000,333690000
2023-03-29,1920000,-132840000,32190000,-30270000,-84620000,-50130000
2023-03-30,-223090000,-388980000,6080000,-229170000,-107660000,-58230000
2023-03-31,-86580000,148730000,-53570000,-33010000,-60990000,296310000
2023-04-03,39600000,165790000,86410000,-46810000,-16050000,142240000
2023-04-04,-105740000,3010000,-51220000,-54520000,46510000,62240000
2023-04-05,-252070000,240840000,-195490000,-56580000,55470000,437450000
2023-04-06,-180050000,-75380000,-105690000,-74360000,11200000,93470000
2023-04-10,39170000,31920000,45240000,-6070000,-38950000,31700000
2023-04-11,236710000,606410000,72030000,164680000,85090000,284600000
2023-04-12,-192630000,-584240000,-50860000,-141770000,-101720000,-289890000
2023-04-13,-11720000,281540000,16520000,-28240000,2480000,290780000
2023-04-14,81950000,-14540000,-11910000,93860000,75340000,-171830000
2023-04-17,-83540000,4870000,-96790000,13250000,52280000,36130000
2023-04-18,-225390000,-678350000,-154790000,-70600000,-85370000,-367590000
2023-04-19,-100690000,58150000,-35420000,-65270000,56230000,102610000
2023-04-20,125380000,166230000,77870000,47510000,43410000,-2560000
2023-04-21,24000000,49170000,67670000,-43670000,-31430000,56600000
2023-04-24,-23610000,123940000,-74040000,50430000,50650000,96900000
2023-04-25,-90500000,152350000,-52940000,-37560000,36230000,206620000
2023-04-26,-155550000,-331400000,-78330000,-77220000,-51000000,-124850000
2023-04-27,-311250000,-827670000,-63750000,-247500000,-226780000,-289640000
2023-04-28,-72330000,-160160000,139180000,-211510000,-56140000,-31690000
