Date,Block (Extra Large + Large),Overall,Extra Large,Large,Medium,Small
2023-01-03,-154400000,-22500000,-78700000,-75700000,56400000,75500000
2023-01-04,32830000,152550000,-79190000,112020000,160070000,-40350000
2023-01-05,-213710000,-323080000,1660000,-215370000,-86310000,-23070000
2023-01-06,36950000,353900000,-159260000,196210000,217850000,99100000
2023-01-09,-109820000,-32720000,-173810000,63990000,-42400000,119490000
2023-01-10,49010000,335880000,-67230000,116240000,119990000,166870000
2023-01-11,-4350000,-99840000,-27910000,23560000,-89180000,-6310000
2023-01-12,-121240000,-9340000,-126030000,4790000,21960000,89940000
2023-01-13,46010000,181040000,134410000,-88400000,67190000,67850000
2023-01-17,-701680000,-1120000000,-420750000,-280930000,-234690000,-186170000
2023-01-18,-719480000,-2430000000,-197990000,-521490000,-481890000,-1230000000
2023-01-19,-493250000,-932720000,-250420000,-242830000,-183760000,-255720000
2023-01-20,-218360000,312980000,-135150000,-83210000,234460000,296880000
2023-01-23,178890000,803950000,-56520000,235410000,202400000,422660000
2023-01-24,-261700000,-199560000,-194650000,-67050000,-104580000,166720000
2023-01-25,-214420000,-313000000,52150000,-266570000,26170000,-124750000
2023-01-26,30950000,203020000,-65660000,96610000,86360000,85700000
2023-01-27,-119700000,198140000,50800000,-170500000,127300000,190530000
2023-01-30,-385790000,-1020000000,-131810000,-253980000,-201400000,-428070000
2023-01-31,308460000,1570000000,-417280000,725740000,448510000,808340000
2023-02-01,336310000,363460000,100690000,235620000,65490000,-38340000
2023-02-02,95860000,277870000,59930000,35930000,-14890000,196920000
2023-02-03,-31760000,-837430000,169260000,-201020000,-63540000,-742130000
2023-02-06,-266030000,-602840000,-51690000,-214340000,-279820000,-56980000
2023-02-07,65940000,954940000,50900000,15040000,282920000,606070000
2023-02-08,70430000,-450850000,36310000,34120000,-165480000,-355800000
2023-02-09,91640000,-553630000,13510000,78130000,-70120000,-575140000
2023-02-10,-319420000,-441240000,-239680000,-79740000,-31070000,-90740000
2023-02-13,-349940000,-254460000,-294490000,-55450000,84270000,11210000
2023-02-14,-444100000,-736650000,-187580000,-256520000,37650000,-330200000
2023-02-15,362760000,468560000,326830000,35930000,157230000,-51440000
2023-02-16,-364930000,-1010000000,-140560000,-224370000,-171990000,-477810000
2023-02-17,-33480000,297250000,4850000,-38330000,185670000,145060000
2023-02-21,-585780000,-1560000000,-39110000,-546670000,-383870000,-586790000
2023-02-22,-153770330,-342510000,-310330,-153460000,2940000,-191680000
2023-02-23,-104650000,-737710000,-129540000,24890000,-44930000,-588130000
2023-02-24,-591920000,-1920000000,-41870000,-550050000,-92430000,-1230000000
2023-02-27,198030000,366170000,30280000,167750000,129120000,39030000
2023-02-28,-116530000,-893550000,143770000,-260300000,-363800000,-413220000
2023-03-01,-139590000,-991630000,-17380000,-122210000,-107360000,-744680000
2023-03-02,70430000,15650000,43340000,27090000,188120000,-242900000
2023-03-03,-31340000,998660000,-230900000,199560000,349680000,680310000
2023-03-06,202120000,-179910000,140240000,61880000,-73930000,-308090000
2023-03-07,-575570000,-1760000000,-59860000,-515710000,-252290000,-933520000
2023-03-08,83730000,289680000,-73250000,156980000,275590000,-69640000
2023-03-09,-744610000,-1540000000,-303950000,-440660000,-405090000,-386800000
2023-03-10,-132400000,-27540000,8320000,-140720000,6020000,98840000
2023-03-13,197990000,85520000,252610000,-54620000,13280000,-125750000
2023-03-14,-19840000,-537800000,-203310000,183470000,99900000,-617860000
2023-03-15,-297550000,-410100000,-108130000,-189420000,85100000,-197660000
2023-03-16,635790000,673140000,211140000,424650000,242370000,-205020000
2023-03-17,15890000,-810020000,130530000,-114640000,-378580000,-447330000
2023-03-20,325140000,-351440000,55760000,269380000,-8130000,-668440000
2023-03-21,191720000,223440000,70180000,121540000,42090000,-10370000
2023-03-22,-394990000,-1030000000,-32110000,-362880000,-282980000,-352310000
2023-03-23,-252530000,-592460000,-224960000,-27570000,9950000,-349870000
2023-03-24,-139320000,-342700000,19590000,-158910000,36240000,-239620000
2023-03-27,24820000,75010000,140580000,-115760000,-64730000,114920000
2023-03-28,44270000,169240000,8000000,36270000,29510000,95450000
2023-03-29,269310000,793930000,29460000,239850000,306480000,218140000
2023-03-30,114610000,122930000,24140000,90470000,46490000,-38160000
2023-03-31,-300010000,-92420000,-85440000,-214570000,92840000,114760000
2023-04-03,-70660000,65620000,28970000,-99630000,12580000,123710000
2023-04-04,-221470000,-287850000,-51720000,-169750000,-124170000,57800000
2023-04-05,-535550000,-432990000,-448620000,-86930000,-46450000,149010000
2023-04-06,116210000,591070000,-83920000,200130000,81320000,393530000
2023-04-10,-113750000,-134840000,63790000,-177540000,-97480000,76380000
2023-04-11,-90400000,-215440000,-29440000,-60960000,32660000,-157700000
2023-04-12,-231550000,-847010000,-33320000,-198230000,-216500000,-398970000
2023-04-13,53630000,772690000,9070000,44560000,114160000,604910000
2023-04-14,-203950000,-314940000,-96910000,-107040000,-64620000,-46370000
2023-04-17,-194400000,23340000,-17470000,-176930000,110290000,107450000
2023-04-18,-413260000,-185710000,-217540000,-195720000,55020000,172540000
2023-04-19,53740000,290410000,72630000,-18890000,151960000,84710000
2023-04-20,-80360000,-541040000,65260000,-145620000,-194360000,-266320000
2023-04-21,277260000,655230000,74460000,202800000,165960000,212000000
2023-04-24,-45450000,-59400000,68220000,-113670000,9240000,-23180000
2023-04-25,-397590000,-780640000,-201250000,-196340000,-483960000,100910000
2023-04-26,-329920000,-544450000,78440000,-408360000,-147640000,-66890000
2023-04-27,192157490,749580000,117490,192040000,286090000,271320000
2023-04-28,547740000,1260000000,247740000,300000000,171220000,538150000
2023-05-01,-846660000,-1060000000,-520640000,-326020000,-233550000,22060000
2023-05-02,-370110000,-877680000,-46520000,-323590000,57900000,-565470000
2023-05-03,-237220000,-637880000,-99330000,-137890000,-201950000,-198720000
