Date,Block (Extra Large + Large),Overall,Extra Large,Large,Medium,Small
2023-01-03,-7160000,-8680000,-13410000,6250000,-5660000,4140000
2023-01-04,9720000,10460000,-29680000,39400000,-5160000,5890000
2023-01-05,2840000,-67960000,-14600000,17440000,-24060000,-46730000
2023-01-06,-73910000,-512880000,-7270000,-66640000,-240830000,-198140000
2023-01-09,-41090000,-114990000,-16260000,-24830000,-43450000,-30450000
2023-01-10,-8730000,-104490000,-11720000,2990000,-58450000,-37320000
2023-01-11,-89830000,-231220000,-44630000,-45200000,-96190000,-45200000
2023-01-12,-36260000,-98510000,3330000,-39590000,-76370000,14120000
2023-01-13,-99340000,-241930000,-38150000,-61190000,-112300000,-30290000
2023-01-17,-2790000,-14820000,17090000,-19880000,-50200000,38160000
2023-01-18,39700000,196260000,4060000,35640000,75470000,81100000
2023-01-19,-54690000,-61580000,-32400000,-22290000,-30190000,23300000
2023-01-20,-145410000,-462650000,-47110000,-98300000,-172590000,-144660000
2023-01-23,-121480000,-350940000,-23960000,-97520000,-180030000,-49440000
2023-01-24,-63080000,-149890000,-9270000,-53810000,-75410000,-11400000
2023-01-25,-119820000,-277950000,-73420000,-46400000,-87120000,-71010000
2023-01-26,-103270000,-297090000,16410000,-119680000,-132330000,-61490000
2023-01-27,-108280000,-339050000,-13650000,-94630000,-144440000,-86330000
2023-01-30,-11040000,-8550000,-18820000,7780000,-22440000,24930000
2023-01-31,-56000000,-194140000,23530000,-79530000,-86900000,-51230000
2023-02-01,-155590000,-441200000,-12980000,-142610000,-163190000,-122430000
2023-02-02,-144510000,-285570000,-22610000,-121900000,-92150000,-48910000
2023-02-03,-36780000,-126150000,52080000,-88860000,-108960000,19590000
2023-02-06,-1600000,-73270000,11820000,-13420000,-38820000,-32850000
2023-02-07,-53360000,-172150000,-25870000,-27490000,-39430000,-79360000
2023-02-08,30390000,31330000,7490000,22900000,-872800,1820000
2023-02-09,91560000,175220000,23460000,68100000,4490000,79180000
2023-02-10,-97140000,-276000000,-39040000,-58100000,-101230000,-77630000
2023-02-13,-80650000,-244910000,-28420000,-52230000,-81560000,-82700000
2023-02-14,-114150000,-293920000,-42130000,-72020000,-93130000,-86640000
2023-02-15,-98850000,-280200000,-36020000,-62830000,-101110000,-80240000
2023-02-16,-117830000,-162880000,-94540000,-23290000,-38680000,-6370000
2023-02-17,-52520000,-167830000,-16120000,-36400000,-75020000,-40290000
2023-02-21,49580000,87920000,-26660000,76240000,9390000,28960000
2023-02-22,-43080000,-70110000,-24720000,-18360000,-10800000,-16240000
2023-02-23,-72670000,-134410000,-37400000,-35270000,-44600000,-17130000
2023-02-24,-5188150,-6380000,-4220000,-968150,-23060000,21860000
2023-02-27,-28590000,-35880000,-14780000,-13810000,3820000,-11120000
2023-02-28,-37790000,-55630000,-24230000,-13560000,-7480000,-10360000
2023-03-01,61060000,87620000,35170000,25890000,7170000,19400000
2023-03-02,-126840000,-341230000,-45880000,-80960000,-113180000,-101200000
2023-03-03,-170380000,-492250000,-69750000,-100630000,-145300000,-176570000
2023-03-06,-31190000,-62280000,-26980000,-4210000,-6650000,-24440000
2023-03-07,113290000,255510000,39690000,73600000,87130000,55090000
2023-03-08,-50670000,-144430000,-10220000,-40450000,-49420000,-44340000
2023-03-09,106120000,204500000,49050000,57070000,35970000,62410000
2023-03-10,-27670580,-201390000,-27040000,-630580,-85010000,-88710000
2023-03-13,-103960000,-305140000,-51030000,-52930000,-69940000,-131240000
2023-03-14,-95120000,-246430000,-47250000,-47870000,-43230000,-108070000
2023-03-15,-78940000,-203830000,-23070000,-55870000,-50500000,-74380000
2023-03-16,-131550000,-283160000,-42590000,-88960000,-54290000,-97310000
2023-03-17,-137340000,-227080000,-66650000,-70690000,-47280000,-42450000
2023-03-20,-74560000,-138450000,-23300000,-51260000,-24410000,-39480000
2023-03-21,-45820000,-166950000,11530000,-57350000,-51560000,-69570000
2023-03-22,-73170000,-188160000,-13920000,-59250000,-45300000,-69680000
2023-03-23,-30400000,-126440000,-10630000,-19770000,-43240000,-52800000
2023-03-24,-115030000,-215580000,-56430000,-58600000,-30900000,-69640000
2023-03-27,15060000,64300000,-6320000,21380000,29380000,19860000
2023-03-28,20280000,-23120000,16350000,3930000,-25130000,-18270000
2023-03-29,-115750000,-183300000,-50570000,-65180000,-24500000,-43050000
2023-03-30,-73090000,-167050000,-22720000,-50370000,-37150000,-56810000
