Date,Block (Extra Large + Large),Overall,Extra Large,Large,Medium,Small
2023-01-03,-24020000,-96400000,6830000,-30850000,-31390000,-40980000
2023-01-04,-16970000,-45480000,-11090000,-5880000,-15700000,-12810000
2023-01-05,-61060000,-108650000,-39870000,-21190000,-21560000,-26030000
2023-01-06,31610000,46850000,33190000,-1580000,-5210000,20450000
2023-01-09,-20540000,-45430000,10990000,-31530000,-19890000,-5010000
2023-01-10,-14250000,-9320000,-27760000,13510000,-2700000,7630000
2023-01-11,16087000,41900000,-5193000,21280000,5150000,15520000
2023-01-12,8480000,-13850000,-14800000,23280000,20380000,-42710000
2023-01-13,-28110000,-60720000,-11800000,-16310000,-7040000,-25570000
2023-01-17,-37558230,-50890000,-598230,-36960000,-323400,-13010000
2023-01-18,-98100000,-217310000,-21180000,-76920000,-43210000,-76000000
2023-01-19,-30190000,-93280000,-27410000,-2780000,-20340000,-42740000
2023-01-20,82680000,120470000,37150000,45530000,19700000,18100000
2023-01-23,113170000,207260000,59180000,53990000,52390000,41700000
2023-01-24,26220000,-3970000,38320000,-12100000,-10090000,-20110000
2023-01-25,88730000,83480000,56050000,32680000,5550000,-10800000
2023-01-26,112910000,205180000,50850000,62060000,37700000,54570000
2023-01-27,41600000,65180000,16520000,25080000,11810000,11770000
2023-01-30,-22030000,-180700000,8000000,-30030000,-64440000,-94230000
2023-01-31,38050000,47620000,16580000,21470000,9190000,382770
2023-02-01,85730000,189640000,39880000,45850000,23210000,80690000
2023-02-02,115820000,232070000,56570000,59250000,34510000,81740000
2023-02-03,42720000,-70470000,38960000,3760000,-42520000,-70670000
2023-02-06,-15400000,-40760000,-13910000,-1490000,-20700000,-4650000
2023-02-07,38910000,47970000,11400000,27510000,5560000,3500000
2023-02-08,-124460000,-272530000,-34060000,-90400000,-58290000,-89780000
2023-02-09,-93550000,-332440000,-7110000,-86440000,-76170000,-162720000
2023-02-10,-23120000,-117860000,-8290000,-14830000,-33950000,-60790000
2023-02-13,10800000,78170000,-2610000,13410000,26400000,40960000
2023-02-14,-7430000,-22000000,6550000,-13980000,943890,-15510000
2023-02-15,43540000,122290000,-9100000,52640000,17310000,61440000
2023-02-16,-68830000,-150420000,-28060000,-40770000,-37570000,-44030000
2023-02-17,-17430000,-121560000,-2200000,-15230000,-33420000,-70710000
2023-02-21,-110440000,-235730000,-46850000,-63590000,-42430000,-82850000
2023-02-22,-10807850,-73380000,-217850,-10590000,-30180000,-32400000
2023-02-23,-65750000,-125120000,-40560000,-25190000,-22140000,-37230000
2023-02-24,-50080000,-189490000,-21560000,-28520000,-59150000,-80260000
2023-02-27,-5580000,-77950000,-20600000,15020000,-25710000,-46660000
2023-02-28,-38170000,-49500000,-20310000,-17860000,-7150000,-4180000
2023-03-01,23140000,-61020000,16760000,6380000,-29390000,-54760000
2023-03-02,59900000,152780000,15470000,44430000,31630000,61250000
2023-03-03,55030000,196330000,10840000,44190000,54280000,87030000
2023-03-06,9030000,-38970000,4780000,4250000,-33160000,-14850000
2023-03-07,-62130000,-327100000,8900000,-71030000,-116840000,-148150000
2023-03-08,-16910000,-34480000,-15410000,-1500000,5600000,-23160000
2023-03-09,-65990000,-244310000,-23090000,-42900000,-93790000,-84540000
2023-03-10,-125360000,-333680000,-84460000,-40900000,-53950000,-154370000
2023-03-13,3030000,27380000,-31710000,34740000,10980000,13370000
2023-03-14,-61790000,-54650000,-49760000,-12030000,-1030000,8170000
2023-03-15,-63460000,-114430000,-21620000,-41840000,-29980000,-20990000
2023-03-16,74680000,321070000,19860000,54820000,97450000,148940000
2023-03-17,-52570000,-177740000,1990000,-54560000,-86650000,-38510000
2023-03-20,-27800000,-19570000,-22380000,-5420000,6930000,1300000
2023-03-21,-8670000,59190000,-11150000,2480000,26630000,41230000
2023-03-22,-6760000,-27120000,-12320000,5560000,2510000,-22870000
2023-03-23,-63820000,-56830000,-51940000,-11880000,-18650000,25660000
2023-03-24,10690000,-67950000,12840000,-2150000,-18530000,-60120000
2023-03-27,-27520000,-142950000,6580000,-34100000,-57080000,-58340000
2023-03-28,-9050000,-75040000,-3830000,-5220000,-21920000,-44070000
2023-03-29,34910000,120310000,7410000,27500000,34920000,50480000
2023-03-30,74050000,120240000,34180000,39870000,26880000,19310000
2023-03-31,59500000,208310000,4910000,54590000,64120000,84690000
2023-04-03,13480000,106250000,9310000,4170000,51430000,41340000
2023-04-04,-6380000,-80520000,-3230000,-3150000,-18840000,-55300000
2023-04-05,-34240000,-110830000,-21250000,-12990000,-52590000,-24000000
2023-04-06,21960000,-21380000,18970000,2990000,-20720000,-22620000
2023-04-10,36890000,36030000,28960000,7930000,-4560000,3700000
2023-04-11,-4700000,-45330000,15660000,-20360000,-11760000,-28860000
2023-04-12,-35980000,-200510000,-28290000,-7690000,-30500000,-134030000
2023-04-13,80340000,211670000,36390000,43950000,51960000,79370000
2023-04-14,17450000,-17400000,2180000,15270000,-3820000,-31020000
2023-04-17,29340000,16560000,17660000,11680000,8650000,-21430000
2023-04-18,-44380000,-117900000,-19490000,-24890000,-14870000,-58650000
2023-04-19,-13550000,-3360000,4970000,-18520000,5720000,4470000
2023-04-20,7460000,-31110000,-6400000,13860000,-55470000,16890000
2023-04-21,-18858390,-64770000,-18180000,-678390,-18390000,-27530000
