date,open,high,low,close,block orders
2023-01-03,267.48,268.98,260.99,263.33,-35930000
2023-01-04,265.48,266.29,261.39,264.58,-155350000
2023-01-05,262.89,263.06,260.12,260.44,-92270000
2023-01-06,262.20,268.76,259.21,267.63,-103430000
2023-01-09,269.65,274.09,268.74,269.36,-107990000
2023-01-10,268.32,271.75,267.80,271.64,-58240000
2023-01-11,272.73,276.45,271.93,276.34,11230000
2023-01-12,276.91,278.88,272.55,277.83,-217940000
2023-01-13,275.30,279.99,274.96,279.75,-144640000
2023-01-17,279.55,281.62,278.36,280.31,-181180000
2023-01-18,281.88,283.45,276.46,276.67,-149890000
2023-01-19,275.02,276.17,272.70,273.95,-128380000
2023-01-20,275.58,281.79,274.51,281.45,-154160000
2023-01-23,282.31,288.95,281.50,287.70,-28060000
2023-01-24,286.06,288.29,285.53,287.11,-17640000
2023-01-25,282.53,287.10,279.96,286.48,-86260000
2023-01-26,289.95,292.24,287.26,292.06,-140800000
2023-01-27,290.73,296.96,290.61,294.97,-91570000
2023-01-30,291.65,293.10,288.63,289.01,-498190000
2023-01-31,289.05,293.44,288.94,293.34,-242560000
2023-02-01,293.13,302.11,291.03,299.61,-126310000
2023-02-02,306.23,312.31,305.39,310.36,-25800000
2023-02-03,303.61,311.03,303.21,304.85,-20597250
2023-02-06,302.19,304.58,300.90,302.27,-69690000
2023-02-07,302.14,309.68,301.00,308.53,-144970000
2023-02-08,307.20,308.15,302.35,303.04,-28510000
2023-02-09,307.50,307.64,298.89,300.37,14060000
2023-02-10,298.18,300.26,295.96,298.40,56680000
2023-02-13,299.82,303.77,298.62,303.17,-42060000
2023-02-14,301.57,306.38,299.60,305.41,-174570000
2023-02-15,303.57,307.92,302.88,307.75,-79090000
2023-02-16,303.05,307.09,301.83,301.98,-112900000
2023-02-17,299.76,300.62,296.80,299.85,-210040000
2023-02-21,295.97,297.43,292.61,292.75,-100050000
2023-02-22,293.34,295.07,291.29,292.97,25850000
2023-02-23,296.67,296.83,291.28,295.53,-192460000
2023-02-24,290.49,291.69,288.79,290.58,-99250000
2023-02-27,293.79,295.20,292.06,292.66,-33010000
2023-02-28,292.02,294.83,291.68,292.28,-130860000
2023-03-01,291.98,292.65,288.94,289.93,-227350000
2023-03-02,287.40,293.15,287.11,292.33,6820000
2023-03-03,294.10,298.61,293.59,298.38,198500000
2023-03-06,299.63,302.68,298.51,298.71,75210000
2023-03-07,298.76,299.70,294.43,295.05,-73350000
